1,Stop Animal Homelessness at Its Roots,https://petitions.whitehouse.gov/petition/stop-animal-homelessness-its-roots/kxBLFMx8
2,Grant voters the ability to vote for the President of the United States by dissolving the electoral college.,https://petitions.whitehouse.gov/petition/grant-voters-ability-vote-president-united-states-dissolving-electoral-college/GZQtFSPV
3,Reject the Keystone XL Pipeline,https://petitions.whitehouse.gov/petition/reject-keystone-xl-pipeline/TX9r0zfh
4,eliminate the permanent division of retention/retirement pay of members of the Uniformed Services in a divorce,https://petitions.whitehouse.gov/petition/eliminate-permanent-division-retentionretirement-pay-members-uniformed-services-divorce/F3YCjMKy
5,Fund National Institutes of Health clinical trial of Low Dose Naltrexone as Multiple Sclerosis generic drug treatment.,https://petitions.whitehouse.gov/petition/fund-national-institutes-health-clinical-trial-low-dose-naltrexone-multiple-sclerosis-generic-drug/CqlyyBQp
6,Change US policy to confront the government of Sudan for ongoing mass atrocities and act to protect innocent civilians,https://petitions.whitehouse.gov/petition/change-us-policy-confront-government-sudan-ongoing-mass-atrocities-and-act-protect-innocent/dm0dRfF0
7,Fully Legalize Same-Sex Marriage Across The Nation,https://petitions.whitehouse.gov/petition/fully-legalize-same-sex-marriage-across-nation/1pNPT8bw
8,Legalize and Regulate Marijuana in a Manner Similar to Alcohol.,https://petitions.whitehouse.gov/petition/legalize-and-regulate-marijuana-manner-similar-alcohol/y8l45gb1
9,"Legalize, regulate, and tax marijuana.",https://petitions.whitehouse.gov/petition/legalize-regulate-and-tax-marijuana/0kmTLwC7
10,EXTEND THE INVESTMENT TAX CREDIT GRANT (SECTION 1603) PROGRAM,https://petitions.whitehouse.gov/petition/extend-investment-tax-credit-grant-section-1603-program/SC4ht1vH
11,"ban the sale, trade, and possession of shark and shark products, including shark fin.",https://petitions.whitehouse.gov/petition/ban-sale-trade-and-possession-shark-and-shark-products-including-shark-fin/dBmF5cHP
12,grant clemency to Native American activist Leonard Peltier without delay.,https://petitions.whitehouse.gov/petition/grant-clemency-native-american-activist-leonard-peltier-without-delay/LLWBZq1S
13,Call an Investigation into Allegations of Prosecutorial & Judicial Misconduct in the Case of Sholom Rubashkin,https://petitions.whitehouse.gov/petition/call-investigation-allegations-prosecutorial-judicial-misconduct-case-sholom-rubashkin/tj7Fx42T
14,Give Good Friday commemorative status in the USA.,https://petitions.whitehouse.gov/petition/give-good-friday-commemorative-status-usa/h4XxpBQX
15,"Light The White House Blue on Men's Health Night, November 21, to raise Prostate and Testicular cancer awareness.",https://petitions.whitehouse.gov/petition/light-white-house-blue-mens-health-night-november-21-raise-prostate-and-testicular-cancer-awareness/TBBhSD8F
16,INVESTIGATION FOR FULL DISCLOSURE OF WHERE AND WHEN AGENT ORANGE HERBICIDES WERE USED OUTSIDE OF VIETNAM TO INCLUDE GUAM,https://petitions.whitehouse.gov/petition/investigation-full-disclosure-where-and-when-agent-orange-herbicides-were-used-outside-vietnam/rQdBtRyd
17,Repeal the Patriot Act,https://petitions.whitehouse.gov/petition/repeal-patriot-act/JF1pdPKg
18,Stop Interfering With State Marijuana Legalization Efforts,https://petitions.whitehouse.gov/petition/stop-interfering-state-marijuana-legalization-efforts/hvcsS8pC
19,"End the destructive, wasteful and counterproductive ""War on Drugs""",https://petitions.whitehouse.gov/petition/end-destructive-wasteful-and-counterproductive-war-drugs/vQwph88D
20,"Help Families Avoid Foreclosure, Stabilize the Housing Market, and Boost the Economy: Adopt the Principal Paydown Plan",https://petitions.whitehouse.gov/petition/help-families-avoid-foreclosure-stabilize-housing-market-and-boost-economy-adopt-principal-paydown/Yj4rq2l8
21,"Extend unemployment benefits past 99 weeks for ALL long-term unemployed Americans - for the 99ers and ANY ""exhaustee"".",https://petitions.whitehouse.gov/petition/extend-unemployment-benefits-past-99-weeks-all-long-term-unemployed-americans-99ers-and-any/xTXWP818
22,formally acknowledge an extraterrestrial presence engaging the human race - Disclosure.,https://petitions.whitehouse.gov/petition/formally-acknowledge-extraterrestrial-presence-engaging-human-race-disclosure/wfYDlmlG
23,Stop Supporting Dictator and State-Terrorist Meles Zenawi of Ethiopia.,https://petitions.whitehouse.gov/petition/stop-supporting-dictator-and-state-terrorist-meles-zenawi-ethiopia/BYhHNjRx
24,Eliminate or Reform Departments whose Officers are Required by Law to Lie to the American People.,https://petitions.whitehouse.gov/petition/eliminate-or-reform-departments-whose-officers-are-required-law-lie-american-people/24vwr7W2
25,Repeal any and all laws pertaining to the illegalization of the Cannabis plant and all of its uses.,https://petitions.whitehouse.gov/petition/repeal-any-and-all-laws-pertaining-illegalization-cannabis-plant-and-all-its-uses/YYjJRHMl
26,PUBLICLY press Japan for the return of Abducted US Children and provide transparent dialogs with Japan on this issue,https://petitions.whitehouse.gov/petition/publicly-press-japan-return-abducted-us-children-and-provide-transparent-dialogs-japan-issue/7Q2JS8Wn
27,Allow Industrial Hemp to be Grown in the U.S. Once Again,https://petitions.whitehouse.gov/petition/allow-industrial-hemp-be-grown-us-once-again/V2gV7rWy
28,"Restore humane horse slaughter to improve horse welfare, stop needless & wasteful suffering & create jobs.",https://petitions.whitehouse.gov/petition/restore-humane-horse-slaughter-improve-horse-welfare-stop-needless-wasteful-suffering-create-jobs/2QtJRrxY
29,Please Hold Ethiopia Accountable for Using America's Aid Money as a Weapon of War and Stop the Genocide in the Ogaden.,https://petitions.whitehouse.gov/petition/please-hold-ethiopia-accountable-using-americas-aid-money-weapon-war-and-stop-genocide-ogaden/zk841Ps5
30,Immediately disclose the government's knowledge of and communications with extraterrestrial beings,https://petitions.whitehouse.gov/petition/immediately-disclose-governments-knowledge-and-communications-extraterrestrial-beings/bGWkJk9Y
31,Reform the coinage system.,https://petitions.whitehouse.gov/petition/reform-coinage-system/Q0rspKM7
32,Authorize and issue a Cold War Service Medal for all who served in the military during the Cold War.,https://petitions.whitehouse.gov/petition/authorize-and-issue-cold-war-service-medal-all-who-served-military-during-cold-war/G9gdyvnV
33,Repeal the Defense of Marriage Act.,https://petitions.whitehouse.gov/petition/repeal-defense-marriage-act/hqTVhk5Y
34,"protect consumers, create jobs and generate revenue by licensing and regulating online poker.",https://petitions.whitehouse.gov/petition/protect-consumers-create-jobs-and-generate-revenue-licensing-and-regulating-online-poker/KZ2KB7c1
35,"Edit the Pledge of Allegiance to remove the phrase ""Under God"".",https://petitions.whitehouse.gov/petition/edit-pledge-allegiance-remove-phrase-under-god/v5J2fC6z
36,US Citizenship for Amerasians from The Philippines and Japan,https://petitions.whitehouse.gov/petition/us-citizenship-amerasians-philippines-and-japan/sFtF5qS1
37,Re-establish and maintain the separation between investment banks and commercial banks.,https://petitions.whitehouse.gov/petition/re-establish-and-maintain-separation-between-investment-banks-and-commercial-banks/ywCMKDfn
38,"Support H.R. 822, the National Right-to-Carry Reciprocity Act of 2011.",https://petitions.whitehouse.gov/petition/support-hr-822-national-right-carry-reciprocity-act-2011/FD9zpRf5
39,review the cases of a select few warriors and give them clemency immediately! Change our ROE!,https://petitions.whitehouse.gov/petition/review-cases-select-few-warriors-and-give-them-clemency-immediately-change-our-roe/8WlQYlf3
40,not veto Palestine's application to become a member of the United Nations.,https://petitions.whitehouse.gov/petition/not-veto-palestines-application-become-member-united-nations/4MhZJ8dL
41,Support for the development of the biofuel called butanol which can be used as a direct replacement for gasoline.,https://petitions.whitehouse.gov/petition/support-development-biofuel-called-butanol-which-can-be-used-direct-replacement-gasoline/NNdm7s08
42,allow the states to set their own minimum drinking ages.,https://petitions.whitehouse.gov/petition/allow-states-set-their-own-minimum-drinking-ages/951Y8r9X
43,Try Casey Anthony in Federal Court for Lying to the FBI Investigators,https://petitions.whitehouse.gov/petition/try-casey-anthony-federal-court-lying-fbi-investigators/KCkZwXSD
44,"Remove ""In God We Trust"" from currency.",https://petitions.whitehouse.gov/petition/remove-god-we-trust-currency/bNhKRxQn
45,Restore democracy by ending corporate personhood.,https://petitions.whitehouse.gov/petition/restore-democracy-ending-corporate-personhood/KQYzl8S5
46,Legal Employment-based Immigration Petitioners Help U.S. Companies and Should NOT be Heavily Backlogged for Years,https://petitions.whitehouse.gov/petition/legal-employment-based-immigration-petitioners-help-us-companies-and-should-not-be-heavily/1NLS8G5c
47,Repeal the Patient Protection and Affordable Care Act and pass a law that can really improve care and reduce the deficit,https://petitions.whitehouse.gov/petition/repeal-patient-protection-and-affordable-care-act-and-pass-law-can-really-improve-care-and-reduce/pxL7v9KD
48,"Abolish the TSA, and use its monstrous budget to fund more sophisticated, less intrusive counter-terrorism intelligence.",https://petitions.whitehouse.gov/petition/abolish-tsa-and-use-its-monstrous-budget-fund-more-sophisticated-less-intrusive-counter-terrorism/c7L94bFB
49,Allow Seriously Backlogged EB2/EB3 Beneficiaries with Their I-140 Approved to File I-485 and Apply for EAD & AP,https://petitions.whitehouse.gov/petition/allow-seriously-backlogged-eb2eb3-beneficiaries-their-i-140-approved-file-i-485-and-apply-ead-ap/d3D62yTt
50,End the Patriot Act,https://petitions.whitehouse.gov/petition/end-patriot-act/nH20qwfr
51,Remove tax exemption from churches and allow them to apply like a non-profit organization,https://petitions.whitehouse.gov/petition/remove-tax-exemption-churches-and-allow-them-apply-non-profit-organization/Jbm5cr22
52,"Demand an Amendment to the U.S. Constitution to End Marijuana, Marihuana, Cannabis and Hemp Prohibition.",https://petitions.whitehouse.gov/petition/demand-amendment-us-constitution-end-marijuana-marihuana-cannabis-and-hemp-prohibition/PS60SlPF
53,Recognize the men and women who are occupying wall street,https://petitions.whitehouse.gov/petition/recognize-men-and-women-who-are-occupying-wall-street/tX0ZX8Z7
54,Direct the Patent Office to Cease Issuing Software Patents,https://petitions.whitehouse.gov/petition/direct-patent-office-cease-issuing-software-patents/vvNslSTq
55,"INTERVENE TO CONSIDER  22,000 WOULD-BE IMMIGRANT WHO WERE NOTIFIED BY DOS THAT THEY'VE WON 2012 DV LOTTERY IN MAY",https://petitions.whitehouse.gov/petition/intervene-consider-22000-would-be-immigrant-who-were-notified-dos-theyve-won-2012-dv-lottery-may/jntn2Dkn
56,Reallocate Defense funds to NASA.,https://petitions.whitehouse.gov/petition/reallocate-defense-funds-nasa/HrxpT8pf
57,"Forgive Student Loan Debt to Stimulate the Economy and Usher in a New Era of Innovation, Entrepreneurship and Prosperity",https://petitions.whitehouse.gov/petition/forgive-student-loan-debt-stimulate-economy-and-usher-new-era-innovation-entrepreneurship-and/jHfPW9c9
58,crack down on puppy mills.,https://petitions.whitehouse.gov/petition/crack-down-puppy-mills/B9W46NCH
59,End discrimination based on sexual orientation and gender identity/expression.,https://petitions.whitehouse.gov/petition/end-discrimination-based-sexual-orientation-and-gender-identityexpression/D9D2Kcc6
60,Take Aviation User Fees off the table,https://petitions.whitehouse.gov/petition/take-aviation-user-fees-table/Mtjk9lM3
61,Complete the U.S. Transition to the modern metric system. Allowing us to manufacture items we could sell to the World.,https://petitions.whitehouse.gov/petition/complete-us-transition-modern-metric-system-allowing-us-manufacture-items-we-could-sell-world/7v0MQpNp
62,give the National Guard a seat on the Joint Chiefs of Staff.,https://petitions.whitehouse.gov/petition/give-national-guard-seat-joint-chiefs-staff/1jxrY8t5
63,End taxpayer subsidies for new nuclear reactors,https://petitions.whitehouse.gov/petition/end-taxpayer-subsidies-new-nuclear-reactors/nx1cDPsK
64,Give States the Freedom to Establish Their Own Marijuana Laws.,https://petitions.whitehouse.gov/petition/give-states-freedom-establish-their-own-marijuana-laws/GQNBJ7dr
